表記,都道府県,島,郡・支庁,市町村,特別区,政令市の区,大字,丁目,字,省略可能な字,街区,住居番号,地番,枝番,脱落地等,建物名等,備考
東京都新宿区西新宿二丁目8番1号,東京都,,,,新宿区,,西新宿,二丁目,,,8,1,,,,,一般的な住居表示住所
新宿区西新宿二丁目8番1号,東京都,,,,新宿区,,西新宿,二丁目,,,8,1,,,,,都道府県名の省略
西新宿二丁目8番1号,東京都,,,,新宿区,,西新宿,二丁目,,,8,1,,,,,市区町村名の省略
山形市大字十文字１,山形県,,,山形市,,,大字十文字,,,,,,1,,,,都道府県名と市区町村名の語幹が同じ
東京都新宿区西新宿２丁目８番１号,東京都,,,,新宿区,,西新宿,二丁目,,,8,1,,,,,漢数字とアラビア数字
東京都新宿区西新宿2-8-1,東京都,,,,新宿区,,西新宿,二丁目,,,8,1,,,,,ハイフンによる接尾辞の省略
東京都新宿区西新宿二ノ八ノ一,東京都,,,,新宿区,,西新宿,二丁目,,,8,1,,,,,ノによる接尾辞の省略
大阪府大阪市中央区上町A-6,大阪府,,,大阪市,,中央区,上町,,,,A,6,,,,,街区符号がアルファベット
岐阜県山県市高木1000番地1,岐阜県,,,山県市,,,高木,,,,,,1000,1,,,市名の中に「県」
愛知県蒲郡市旭町17番1号,愛知県,,,蒲郡市,,,旭町,,,,17,1,,,,,市名の中に「郡」
石川県野々市市三納1丁目1番地,石川県,,,野々市市,,,三納,一丁目,,,,,1,,,,市名の中に「市」（後ろの「市」までが市名）
愛媛県松山市市坪西町625番地1,愛媛県,,,松山市,,,市坪西町,,,,,,625,1,,,「市」から始まる大字（後ろの「市」は大字名）
三重県四日市市市場町２１２４,三重県,,,四日市市,,,市場町,,,,,,2124,,,,2番目の「市」までが市名、3番目の「市」は大字名
新潟県十日町市千歳町3丁目3番地,新潟県,,,十日町市,,,千歳町,三丁目,,,,,3,,,,市名の中に「町」
宇都宮市旭1丁目1-5,栃木県,,,宇都宮市,,,旭,一丁目,,,1,5,,,,,市名の中に「都」
札幌市中央区北３西１－７,北海道,,,札幌市,,中央区,北三条,西一丁目,,,,,7,,,,札幌市の条省略
三重県津市広明町13番地,三重県,,,津市,,,広明町,,,,,,13,,,,数字を含む県名
京都市中京区寺町通御池上る上本能寺前町488番地,京都府,,,京都市,,中京区,上本能寺前町,,,,,,488,,,,京都の通り名を含む住所
東京都西多摩郡瑞穂町大字箱根ケ崎2335番地,東京都,,西多摩郡,瑞穂町,,,大字箱根ケ崎,,,,,,2335,,,,「大字」から始まる大字
熊本県阿蘇市波野小地野,熊本県,,,阿蘇市,,,波野大字小池野,,,,,,,,,,大字名の中の「大字」が省略
大分県宇佐市安心院町大字古川字長坂,大分県,,,宇佐市,,,安心院町大字古川,,字長坂,,,,,,,,大字名の途中に余分な「大字」を含む住所
岡山県新見市哲多町大字大野,岡山県,,,新見市,,,哲多町大野,,,,,,,,,,大字名の途中に余分な「大字」を含む住所
徳島県阿南市那賀川町大字三栗字堤下,徳島県,,,阿南市,,,那賀川町三栗,,,字堤下,,,,,,,大字名の途中に余分な「大字」を含む住所
愛知県清須市助七一,愛知県,,,清須市,,,助七,一丁目,,,,,,,,,大字名が漢数字で終わり丁目との区切り文字が無い
静岡市葵区与一四－１,静岡県,,,静岡市,,葵区,与一,四丁目,,,1,,,,,,大字名が漢数字で終わり丁目との区切り文字が無い
札幌市中央区北一一西一三－１,北海道,,,札幌市,,中央区,北十一条,西十三丁目,,,1,,,,,,11を一一と表記
鳥取県米子市古豊千六,鳥取県,,,米子市,,,古豊千,,,,,,6,,,,大字名が漢数字で終わり地番との区切り文字が無い
鳥取県米子市福万619,鳥取県,,,米子市,,,福万,,,,,,619,,,,大字名が漢数字で終わり地番との区切り文字が無い
徳島県阿南市富岡町トノ町６５－６,徳島県,,,阿南市,,,富岡町,,トノ町,,,,65,6,,,字名に「ノ」が含まれる
埼玉県大里郡寄居町鷹ノ巣５２−１,埼玉県,,大里郡,寄居町,,,鷹巣,,,,,,52,1,,,大字名に余分な「ノ」が含まれる
群馬県伊勢崎市国定町２の甲１９９４,群馬県,,,伊勢崎市,,,国定町,二丁目,,,,,甲1994,,,,地番に「甲」が含まれる
千葉県袖ケ浦市久保田字一ノ山１５２３,千葉県,,,袖ケ浦市,,,久保田,,,字一ノ山,,,1523,,,,省略可能な字に「ノ」が含まれる
兵庫県宍粟市山崎町上ノ１５０２,兵庫県,,,宍粟市,,,山崎町,,上ノ,,,,1502,,,,字名が「ノ」で終わっている
石川県小松市軽海町ノ１４－１,石川県,,,小松市,,,軽海町,,ノ,,,,14,1,,,字名が「ノ」
石川県小松市軽海町ノ－１４－１,石川県,,,小松市,,,軽海町,,ノ,,,,14,1,,,字名「ノ」のあとにハイフンで地番が続く
